ko,en,cn,jp,vi,description
빛의 날개: 추가 획득 교본,Wings of Light: Benefaction Primer,,,,material
빛의 날개: 마법 회복 교본,Wings of Light: Magic Recovery Primer,,,,material
시야 교란 교본,Disturbed Vision Primer,,,,material
시야 교란: 추가 획득 교본,Disturbed Vision: Benefaction Primer,,,,material
시야 교란: 집중 공격 교본,Disturbed Vision: Focus Attack Primer,,,,material
시야 교란: 정신 붕괴 교본,Disturbed Vision: Mind Break Primer,,,,material
달의 무게 교본,Lunar Force Primer,,,,material
달의 무게: 시간 왜곡 교본,Lunar Force: Time Warp Primer,,,,material
달의 무게: 마력 보호 교본,Lunar Force: Magic Guard Primer,,,,material
달의 무게: 마력 확산 교본,Lunar Force: Diffuse Magic Primer,,,,material
마력 파동 교본,Hex Rush Primer,,,,material
마력 파동: 마력 강화 교본,Hex Rush: Invoked Enhancement Primer,,,,material
마력 파동: 순간 이동 교본,Hex Rush: Swift Attack Primer,,,,material
마력 파동: 마력 증폭 교본,Hex Rush: Magic Surge Primer,,,,material
얼음 송곳 교본,Icicle Primer,,,,material
얼음 송곳: 순간 이동 교본,Icicle: Swift Attack Primer,,,,material
얼음 송곳: 마력 상처 교본,Icicle: Cursed Wound Primer,,,,material
얼음 송곳: 방어 해제 교본,Icicle: Imperil Primer,,,,material
불의 증명 교본,Testament of Fire Primer,,,,material
불의 증명: 마력 관통 교본,Testament of Fire: Piercing Magic Primer,,,,material
불의 증명: 시간 왜곡 교본,Testament of Fire: Time Warp Primer,,,,material
불의 증명: 마력 증폭 교본,Testament of Fire: Magic Surge Primer,,,,material
마법 연계 교본,Chain Magic Primer,,,,material
단죄의 비 교본,Condemning Rain Primer,,,,material
단죄의 비: 마력 확산 교본,Condemning Rain: Diffuse Magic Primer,,,,material
단죄의 비: 마력 증폭 교본,Condemning Rain: Magic Surge Primer,,,,material
심판의 비 교본,Rain of Judgment Primer,,,,material
심판의 비: 마력 확산,Rain of Judgment: Diffuse Magic,,,,material
심판의 비: 마력 관통 교본,Rain of Judgment: Piercing Magic Primer,,,,material
마력 화살 교본,Hex Arrow Primer,,,,material
마력 화살: 마력 상처 교본,Hex Arrow: Cursed Wound Primer,,,,material
마력 화살: 몰입 교본,Hex Arrow: Immersion Primer,,,,material
전격 화살 교본,Blitz Arrow Primer,,,,material
전격 화살: 방어 해제 교본,Blitz Arrow: Imperil Primer,,,,material
전격 화살: 마력 관통 교본,Blitz Arrow: Piercing Magic Primer,,,,material
전격 화살: 마력 강화 교본,Blitz Arrow: Invoked Enhancement Primer,,,,material
눈보라 교본,Blizzard Primer,,,,material
눈보라: 시간 왜곡 교본,Blizzard: Time Warp Primer,,,,material
눈보라: 정신 붕괴 교본,Blizzard: Mind Break Primer,,,,material
눈폭풍 교본,Snowstorm Primer,,,,material
눈폭풍: 마력 관통 교본,Snowstorm: Piercing Magic Primer,,,,material
눈폭풍: 둔화 교본,Snowstorm: Slowdown Primer,,,,material
눈폭풍: 마력 증폭 교본,Snowstorm: Magic Surge Primer,,,,material
빙하 충격 교본,Glacial Impact Primer,,,,material
빙하 충격: 신속 공격 교본,Glacial Impact: Rush Attack Primer,,,,material
빙하 충격: 마력 증폭 교본,Glacial Impact: Magic Surge Primer,,,,material
빙하 충격: 마력 확산 교본,Glacial Impact: Diffuse Magic Primer,,,,material
번개 비 교본,Lightning Rain Primer,,,,material
번개 비: 시간 왜곡 교본,Lightning Rain: Time Warp Primer,,,,material
번개 비: 몰입 교본,Lightning Rain: Immersion Primer,,,,material
번개 비: 마력 획득 교본,Lightning Rain: Magic Bounty Primer,,,,material
번개 장막 교본,Lightning Screen Primer,,,,material
번개 장막: 집중 공격 교본,Lightning Screen: Focus Attack Primer,,,,material
번개 장막: 약화 교본,Lightning Screen: Weaken Primer,,,,material
번개 장막: 마력 응축 교본,Lightning Screen: Focus Magic Primer,,,,material
화염 해방 교본,Unleash Flames Primer,,,,material
화염 해방: 추가 획득 교본,Unleash Flames: Benefaction Primer,,,,material
화염 해방: 방어 해제 교본,Unleash Flames: Imperil Primer,,,,material
화염 해방: 마력 증폭 교본,Unleash Flames: Magic Surge Primer,,,,material
매지션 버프 스킬1 스킬북,Primal Arts Primer,,,,material
일격탄 교본,Brisk Blow Primer,,,,material
일격탄: 후방 도약 교본,Brisk Blow: Rearward Leap Primer,,,,material
탄환 채찍 교본,Bullet Whip Primer,,,,material
탄환 채찍: 가속 교본,Bullet Whip: Accelerate Primer,,,,material
사각 겨냥 교본,Precise Shot Primer,,,,material
사각 겨냥: 철갑탄 장전 교본,Precise Shot: Armor-Piercing Ammo Primer,,,,material
불씨 폭격 교본,Ember Bomb Primer,,,,material
불씨 폭격: 화상 교본,Ember Bomb: Burn Primer,,,,material
허공 난사 교본,Flying Scattershot Primer,,,,material
허공 난사: 신념 교본,Flying Scattershot: Conviction Primer,,,,material
허공 난사: 산탄 교본,Flying Scattershot: Shrapnel Primer,,,,material
사냥 준비 교본,Gone Hunting Primer,,,,material
사냥 준비: 집중 교본,Gone Hunting: Focus Primer,,,,material
사냥 준비: 날렵한 몸놀림 교본,Gone Hunting: Swiftness Primer,,,,material
사냥 준비: 연막 교본,Gone Hunting: Smokescreen Primer,,,,material
붉은 잔영 교본,A Trace of Red Primer,,,,material
붉은 잔영: 급소 차기 교본,A Trace of Red: Strike Weakpoint Primer,,,,material
붉은 잔영: 휘둘러 차기 교본,A Trace of Red: Sweeping Strike Primer,,,,material
붉은 잔영: 하단 차기 교본,A Trace of Red: Low Blow Primer,,,,material
필승의 일발 교본,Winning Shot Primer,,,,material
필승의 일발: 가속 교본,Winning Shot: Accelerate Primer,,,,material
필승의 일발: 지원 포격 교본,Winning Shot: Suppressive Fire Primer,,,,material
필승의 일발: 화상 교본,Winning Shot: Burn Primer,,,,material
붉은 유성우 교본,Red Comet Primer,,,,material
붉은 유성우: 불굴 교본,Red Comet: Indomitable Primer,,,,material
붉은 유성우: 후방 도약 교본,Red Comet: Rearward Leap Primer,,,,material
붉은 유성우: 활력 교본,Red Comet: Vigor Primer,,,,material
허공의 궤적 교본,Path of Null Primer,,,,material
허공의 궤적: 손목 차기 교본,Path of Null: Wrist Strike Primer,,,,material
허공의 궤적: 신념 교본,Path of Null: Conviction Primer,,,,material
허공의 궤적: 사냥꾼 교본,Path of Null: Hunter Primer,,,,material
교차 사격 교본,Crossfire Primer,,,,material
교차 사격: 철갑탄 장전 교본,Crossfire: Armor-Piercing Ammo Primer,,,,material
교차 사격: 시야상실 교본,Crossfire: Whiteout Primer,,,,material
교차 사격: 탄환 호우 교본,Crossfire: Bulletstorm Primer,,,,material
불꽃 살포 교본,Sparks Fly Primer,,,,material
불꽃 살포: 저격 교본,Sparks Fly: Snipe Primer,,,,material
불꽃 살포: 지원 포격 교본,Sparks Fly: Suppressive Fire Primer,,,,material
불꽃 살포: 정신 붕괴 교본,Sparks Fly: Mind Break Primer,,,,material
예리한 섬광 교본,Sharp Flash Primer,,,,material
예리한 섬광: 연속 사격 교본,Sharp Flash: Consecutive Fire Primer,,,,material
열화의 춤 교본,Let's Tango Primer,,,,material
열화의 춤: 노림수 교본,Let's Tango: Finesse Primer,,,,material
파괴의 서막 교본,Prelude to Ruin Primer,,,,material
파괴의 서막: 정밀 조준 교본,Prelude to Ruin: Pinpoint Shot Primer,,,,material
대지의 상흔 교본,Earth Scar Primer,,,,material
대지의 상흔: 신념 교본,Earth Scar: Conviction Primer,,,,material
대지의 상흔: 산탄 교본,Earth Scar: Shrapnel Primer,,,,material
종말의 포화 교본,Doom Burst Primer,,,,material
종말의 포화: 철갑탄 장전 교본,Doom Burst: Armor-Piercing Ammo Primer,,,,material
종말의 포화: 구사일생 교본,Doom Burst: Narrow Escape Primer,,,,material
종말의 포화: 신속 교본,Doom Burst: Rush Primer,,,,material
승전의 신호 교본,Sign of Triumph Primer,,,,material
승전의 신호: 신탄 교본,Sign of Triumph: Cinders Primer,,,,material
승전의 신호: 탄환 개조 교본,Sign of Triumph: Modified Ammo Primer,,,,material
승전의 신호: 화상 교본,Sign of Triumph: Burn Primer,,,,material
교란 일격 교본,Rile Up Primer,,,,material
교란 일격: 순간 장전 교본,Rile Up: Quick Charge Primer,,,,material
교란 일격: 철갑탄 장전 교본,Rile Up: Armor-Piercing Ammo Primer,,,,material
교란 일격: 틈새 저격 교본,Rile Up: Crack Shot Primer,,,,material
말살의 탄환 교본,Slaughter Shot Primer,,,,material
말살의 탄환_화상,Slaughter Shot: Burn Primer,,,,material
말살의 탄환_허점 붕괴,Slaughter Shot: Breaking Point Primer,,,,material
건슬링어 버프 스킬1 스킬북,Fighting Spirit Primer,,,,material
퇴로 차단,Prevent Escape Primer,,,,material
퇴로 차단: 의지 강화,Prevent Escape: Enhance Will Primer,,,,material
퇴로 차단: 휘어잡기,Prevent Escape: Grasp Primer,,,,material
퇴로 차단: 갑옷 타격,Prevent Escape: Armor Strike Primer,,,,material
포획 응징,Seize Retribution Primer,,,,material
포획 응징: 휘어잡기,Seize Retribution: Grasp Primer,,,,material
포획 응징: 이중 차단,Seize Retribution: Double Block Primer,,,,material
포획 응징: 보호막,Seize Retribution: Barrier Primer,,,,material
포획 처단,Seize Punishment Primer,,,,material
포획 처단: 흉갑 강화,Seize Punishment: Enhance Breastplate Primer,,,,material
포획 처단: 삼중 차단,Seize Punishment: Triple Block Primer,,,,material
포획 처단: 휘어잡기,Seize Punishment: Grasp Primer,,,,material
전의 충돌,Clash of Wills Primer,,,,material
전의 충돌: 강타,Clash of Wills: Bash Primer,,,,material
철옹의 돌격,Unyielding Charge Primer,,,,material
철옹의 돌격: 강타,Unyielding Charge: Bash Primer,,,,material
진형 파괴,Shatter Formation Primer,,,,material
진형 파괴: 신속,Shatter Formation: Rush Primer,,,,material
진형 파괴: 예리함 강화,Shatter Formation: Sharply Honed Primer,,,,material
진형 파괴: 기절,Shatter Formation: Stun Primer,,,,material
예리한 검무,Subtle Swordplay Primer,,,,material
예리한 검무: 넘어짐,Subtle Swordplay: Knockdown Primer,,,,material
예리한 검무: 신속,Subtle Swordplay: Rush Primer,,,,material
맹렬한 검무,Fierce Swordplay Primer,,,,material
맹렬한 검무: 맹공,Fierce Swordplay: Vicious Attack Primer,,,,material
맹렬한 검무: 회심,Fierce Swordplay: Repentance Primer,,,,material
맹렬한 검무: 절단,Fierce Swordplay: Sever Primer,,,,material
방패 가격,Shield Bash Primer,,,,material
방패 가격: 보호막,Shield Bash: Barrier Primer,,,,material
방패 연타,Shield Pummeling Primer,,,,material
방패 연타: 방패 강화,Shield Pummeling: Enhance Shield Primer,,,,material
방패 연타: 기선제압,Shield Pummeling: Forestall Primer,,,,material
섬광 가르기,Slash Glare Primer,,,,material
섬광 가르기: 예리함 강화,Slash Glare: Sharply Honed Primer,,,,material
섬광 부수기,Crushing Glare Primer,,,,material
섬광 부수기: 강타,Crushing Glare: Bash Primer,,,,material
섬광 부수기: 전의상실,Crushing Glare: Demoralize Primer,,,,material
운명의 검,Sword of Fate Primer,,,,material
운명의 검: 현기증,Sword of Fate: Vertigo Primer,,,,material
운명의 검: 무방비,Sword of Fate: Defenseless Primer,,,,material
승리의 검,Sword of Victory Primer,,,,material
승리의 검: 강타,Sword of Victory: Bash Primer,,,,material
승리의 검: 투지력 상승,Sword of Victory: Ascending Valor Primer,,,,material
심판의 검,Sword of Judgment Primer,,,,material
심판의 검: 회심,Sword of Judgment: Repentance Primer,,,,material
심판의 검: 맹공,Sword of Judgment: Vicious Attack Primer,,,,material
심판의 검: 보호막,Sword of Judgment: Barrier Primer,,,,material
육탄 기습,Reckless Raid Primer,,,,material
육탄 기습: 돌진,Reckless Raid: Dash Primer,,,,material
육탄 기습: 기습 공격,Reckless Raid: Surprise Attack Primer,,,,material
육탄 기습: 회심,Reckless Raid: Repentance Primer,,,,material
대지 균열,Earth Rift Primer,,,,material
대지 균열: 맹공,Earth Rift: Vicious Attack Primer,,,,material
대지 균열: 현기증,Earth Rift: Vertigo Primer,,,,material
대지 균열: 강타,Earth Rift: Bash Primer,,,,material
만월 일격,Full Moon Strike Primer,,,,material
만월 일격: 강타,Full Moon Strike: Bash Primer,,,,material
만월 일격: 투지력 상승,Full Moon Strike: Ascending Valor Primer,,,,material
만월 일격: 무기 타격,Full Moon Strike: Weapon Smash Primer,,,,material
철벽 난투,Impervious Rush Primer,,,,material
철벽 난투: 강타,Impervious Rush: Bash Primer,,,,material
철벽 난투: 기습 공격,Impervious Rush: Surprise Attack Primer,,,,material
철벽 난투: 보호막,Impervious Rush: Barrier Primer,,,,material
검기 난무,Sword Flurry Primer,,,,material
검기 난무: 무기 강화,Sword Flurry: Enhance Weapon Primer,,,,material
검기 난무: 회심,Sword Flurry: Repentance Primer,,,,material
검기 난무: 맹공,Sword Flurry: Vicious Attack Primer,,,,material
나이트 버프 스킬1 스킬북,Guardian Roots Primer,,,,material
워로드_격돌 교본,Crash Primer,,,,material
워로드_격돌 교본(레벨 습득-아이템 미지급),Crash: Spread Mayhem Primer,,,,material
워로드_격돌 교본,Crash: Battle Stance Primer,,,,material
워로드_무력화 교본,Neutralize Primer,,,,material
워로드_무력화 교본(레벨 습득-아이템 미지급),Neutralize: Focus Attack Primer,,,,material
워로드_무력화 교본,Neutralize: Overwhelming Power Primer,,,,material
워로드_나선 참격 교본,Spiral Strike Primer,,,,material
워로드_나선 참격 교본(레벨 습득-아이템 미지급),Spiral Strike: Draw Blood Primer,,,,material
워로드_나선 참격 교본,Spiral Strike: Boundless Rage Primer,,,,material
워로드_땅울림 격타 교본,Quake Strike Primer,,,,material
워로드_땅울림 격타 교본(레벨 습득-아이템 미지급),Quake Strike: Concentration Primer,,,,material
워로드_땅울림 격타 교본,Quake Strike: Advanced Approach Primer,,,,material
워로드_대지 휩쓸기 교본,Earth Raze Primer,,,,material
워로드_대지 휩쓸기 교본(레벨 습득-아이템 미지급),Earth Raze: Battle Stance Primer,,,,material
워로드_대지 휩쓸기 교본,Earth Raze: Spread Mayhem Primer,,,,material
워로드_흙바람 난타 교본,Sandstorm Volley Primer,,,,material
워로드_흙바람 난타 교본(레벨 습득-아이템 미지급),Sandstorm Volley: Spread Mayhem,,,,material
워로드_흙바람 난타 교본,Sandstorm Volley: Concentration Primer,,,,material
워로드_흙바람 난타 교본,Sandstorm Volley: Blunt Senses Primer,,,,material
워로드_폭주 교본,Outburst Primer,,,,material
워로드_폭주 Ex1 교본(레벨 습득-아이템 미지급),Outburst: Spread Mayhem Primer,,,,material
워로드_폭주 Ex2 교본,Outburst: Stamina Stealer Primer,,,,material
워로드_폭주 Ex3 교본,Outburst: Mind Raze Primer,,,,material
워로드_회전 분쇄 교본,Shattering Spin Primer,,,,material
워로드_회전 분쇄 Ex1 교본,Shattering Spin: Spread Mayhem Primer,,,,material
워로드_회전 분쇄 Ex2 교본,Shattering Spin: Overwhelming Power Primer,,,,material
워로드_회전 분쇄 Ex3 교본,Shattering Spin: Enhance Skill Primer,,,,material
워로드_무쇠 강타 교본,Iron Bash Primer,,,,material
워로드_무쇠 강타 Ex1 교본,Iron Bash: Battle Stance Primer,,,,material
워로드_무쇠 강타 Ex2 교본,Iron Bash: Enhance Skill Primer,,,,material
워로드_무쇠 강타 Ex3 교본,Iron Bash: Draw Blood Primer,,,,material
워로드_대지 할퀴기 교본,Earth Ravager Primer,,,,material
워로드_대지 할퀴기 Ex1 교본,Earth Ravager: Destroy Weapon Primer,,,,material
워로드_대지 할퀴기 Ex2 교본,Earth Ravager: Overwhelming Power Primer,,,,material
워로드_대지 할퀴기 Ex3 교본,Earth Ravager: Advanced Approach Primer,,,,material
워로드_돌풍 오름 교본,Rising Winds Primer,,,,material
워로드_돌풍 오름 Ex1 교본,Rising Winds: Intimidate Primer,,,,material
워로드_돌풍 오름 Ex2 교본,Rising Winds: Focus Attack Primer,,,,material
워로드_돌풍 오름 Ex3 교본,Rising Winds: Battle Stance Primer,,,,material
워로드_만상 붕괴 교본,Universal Ruin Primer,,,,material
워로드_만상 붕괴 Ex1 교본,Universal Ruin: Focus Attack Primer,,,,material
워로드_만상 붕괴 Ex2 교본,Universal Ruin: Battle Stance Primer,,,,material
워로드_만상 붕괴 Ex3 교본,Universal Ruin: Destroy Weapon Primer,,,,material
워로드_강철 회오리 교본,Steel Vortex Primer,,,,material
워로드_강철 회오리 교본,Steel Vortex: Spread Mayhem Primer,,,,material
워로드_강철 회오리 교본,Steel Vortex: Battle Stance Primer,,,,material
워로드_강철 회오리 교본,Steel Vortex: Enhance Skill Primer,,,,material
워로드_용솟음 격타 교본,Barrage Strike Primer,,,,material
워로드_용솟음 격타 교본,Barrage Strike: Overwhelming Power Primer,,,,material
워로드_용솟음 격타 교본,Barrage Strike: Destroy Armor Primer,,,,material
워로드_용솟음 격타 교본,Barrage Strike: Draw Blood Primer,,,,material
워로드_투사의 혈투 교본,Bloodthirst Primer,,,,material
워로드_투사의 혈투 교본,Bloodthirst: Overwhelming Power Primer,,,,material
워로드_투사의 혈투 교본,Bloodthirst: Enhance Skill Primer,,,,material
워로드_투사의 혈투 교본,Bloodthirst: Mind Raze Primer,,,,material
워로드_바위 강타 교본,Boulder Bash Primer,,,,material
워로드_바위 강타 교본,Boulder Bash: Intimidate Primer,,,,material
워로드_바위 강타 교본,Boulder Bash: Barrier Primer,,,,material
워로드_바위 강타 교본,Boulder Bash: Overwhelming Power Primer,,,,material
워로드_강철 지진 교본,Steel Quake Primer,,,,material
워로드_강철 지진 Ex1 교본(레벨 습득-아이템 미지급),Steel Quake: Boundless Rage Primer,,,,material
워로드_강철 지진 Ex2 교본,Steel Quake: Concentration Primer,,,,material
워로드_들개 바람 교본,Wild Winds Primer,,,,material
워로드_들개 바람 Ex1 교본(레벨 습득-아이템 미지급),Wild Winds: Destroy Armor Primer,,,,material
워로드_들개 바람 Ex2 교본,Wild Winds: Unstoppable Primer,,,,material
워로드_들개 바람 Ex3 교본,Wild Winds: Spread Mayhem Primer,,,,material
워로드_승천의 불길 교본,Fiery Ascent Primer,,,,material
워로드_승천의 불길 Ex1 교본(레벨 습득-아이템 미지급),Fiery Ascent: Blunt Senses Primer,,,,material
워로드_승천의 불길 Ex2 교본,Fiery Ascent: Overwhelming Power Primer,,,,material
워로드_승천의 불길 Ex3 교본,Fiery Ascent: Stamina Stealer Primer,,,,material
워로드_투신의 혈투 교본,Bloodbath Primer,,,,material
워로드_투신의 혈투 교본,Bloodbath: Enhance Skill Primer,,,,material
워로드_투신의 혈투 교본,Bloodbath: Unstoppable Primer,,,,material
워로드_투신의 혈투 교본,Bloodbath: Stamina Stealer Primer,,,,material
워로드 디버프 스킬1 스킬북,King of the World Primer,,,,material
가볍게 한 방!,Small Blow Primer,,,,material
가볍게 한 방!_공간 압축,Small Blow: Space Compression Primer,,,,material
따끔할 거야!,This Might Sting Primer,,,,material
따끔할 거야!_약점 공격,This Might Sting: Shatter Weakpoint Primer,,,,material
따끔할 거야!_시공 포격,This Might Sting: Continuum Barrage Primer,,,,material
왼쪽 오른쪽!,Crisscross Primer,,,,material
왼쪽 오른쪽!_공간 도약,Crisscross: Spatial Leap Primer,,,,material
빙글 돌아라!,Whirlwind Primer,,,,material
빙글 돌아라!_기습,Whirlwind: Ambush Primer,,,,material
끝난 줄 알았지?,Not Done Yet Primer,,,,material
끝난 줄 알았지?_공간 압축,Not Done Yet: Space Compression Primer,,,,material
끝난 줄 알았지?_단축,Not Done Yet: Shorten Primer,,,,material
끝난 줄 알았지?_기습,Not Done Yet: Ambush Primer,,,,material
폴짝 뛸 거야!,High Jump Primer,,,,material
폴짝 뛸 거야!_약점 공격,High Jump: Shorten Primer,,,,material
폴짝 뛸 거야!_단축,High Jump: Shatter Weakpoint Primer,,,,material
폴짝 뛸 거야!_갑옷 부식,High Jump: Corrode Armor Primer,,,,material
번쩍번쩍!,Dazzle Primer,,,,material
번쩍번쩍!_기습,Dazzle: Ambush Primer,,,,material
번쩍번쩍!_약점 공격,Dazzle: Cripple Primer,,,,material
번쩍번쩍!_정신 오염,Dazzle: Mind Virus Primer,,,,material
강하게 한 방!,Big Blow Primer,,,,material
강하게 한 방!_활성,Big Blow: Revitalize Primer,,,,material
발바닥 조심!_공간 압축,Watch Your Feet: Space Compression Primer,,,,material
발바닥 조심!,Watch Your Feet Primer,,,,material
발바닥 조심!_공간 도약,Watch Your Feet: Shatter Weakpoint Primer,,,,material
발바닥 조심!_노화,Watch Your Feet: Aging Primer,,,,material
백발백중!,Bullseye Primer,,,,material
백발백중!_단축,Bullseye: Shorten Primer,,,,material
백발백중!_화염포,Bullseye: Fire Cannon Primer,,,,material
백발백중!_무기 부식,Bullseye: Corrode Weapon Primer,,,,material
빵빵빵!,Bang Bang Bang Primer,,,,material
빵빵빵!_단축,Bang Bang Bang: Shorten Primer,,,,material
빵빵빵!_시공 포격,Bang Bang Bang: Continuum Barrage Primer,,,,material
빵빵빵!_약점 공격,Bang Bang Bang: Shatter Weakpoint Primer,,,,material
하낫 둘 으쌰!,Up and At 'Em Primer,,,,material
하낫 둘 으쌰!_공간 도약,Up and At 'Em: Spatial Leap Primer,,,,material
하낫 둘 으쌰!_활성,Up and At 'Em: Revitalize Primer,,,,material
머리 조심!,Watch Your Head Primer,,,,material
머리 조심!_부동심,Watch Your Head: Keep Calm Primer,,,,material
머리 조심!_차원 도피,Watch Your Head: Dimensional Escape Primer,,,,material
멋진 불꽃놀이!,Fireworks Primer,,,,material
멋진 불꽃놀이!_균형 붕괴,Fireworks: Off Balance Primer,,,,material
멋진 불꽃놀이!_굴절,Fireworks: Distort Primer,,,,material
멋진 불꽃놀이!_화염포,Fireworks: Fire Cannon Primer,,,,material
몇 번 돌았게?,Twirl Time Primer,,,,material
몇 번 돌았게?_기습,Twirl Time: Ambush Primer,,,,material
몇 번 돌았게?_공간 도약,Twirl Time: Spatial Leap Primer,,,,material
몇 번 돌았게?_유혈충동,Twirl Time: Bloodlust Primer,,,,material
머리보다 높이!,Over Your Head Primer,,,,material
머리보다 높이!_활성,Over Your Head: Revitalize Primer,,,,material
뜨거울 거야!,Coming in Hot Primer,,,,material
뜨거울 거야!_시공 포격,Coming in Hot: Continuum Barrage Primer,,,,material
터질 줄 몰랐지?,Blindsided Primer,,,,material
터질 줄 몰랐지?_약점 공격,Blindsided: Shatter Weakpoint Primer,,,,material
터질 줄 몰랐지?_활성,Blindsided: Revitalize Primer,,,,material
터질 줄 몰랐지?_시간 가속,Blindsided: Go Time Primer,,,,material
좋은 거 줄게!,You're Gonna Get It Primer,,,,material
좋은 거 줄게!_시공 포격,You're Gonna Get It: Continuum Barrage Primer,,,,material
좋은 거 줄게!_화염포,You're Gonna Get It: Fire Cannon,,,,material
좋은 거 줄게!_공간 왜곡,You're Gonna Get It: Space Warp Primer,,,,material
동그라미 팔짝!,Circle Leap Primer,,,,material
동그라미 팔짝!_유혈충동,Circle Leap: Bloodlust Primer,,,,material
동그라미 팔짝!_날벼림,Circle Leap: Bolt Primer,,,,material
액슬러 버프 스킬1 스킬북,Pain Relief Primer,,,,material
룬 슬롯 강화 주문서,Rune Slot Enhance Scroll,,,,material
평행필드 재료 아이템 (제작재료) 칠흑의 근원_거래불가,Dark Orb,,,,material
환전소 이용 쿠폰_거래불가,Red Gem Exchange Tickets,,,,material
몽환의 틈 충전권 - 기사,Knight's Regret Recharge Ticket,,,,material
몽환의 틈 충전권,Girl's Nightmare Recharge Ticket,,,,material
V4 오픈 기념 주화,V4 Launch Coin,,,,material
외형 변경권 (인 게임 커스터마이즈 티켓)_거래불가,Character Appearance Mod Ticket,,,,material
판매용 주화_거래불가,Demonic Sigh (Bound),,,,material
판매용 주화_거래가능,Demonic Sigh,,,,material
장인퀘스트_대장장이_대체재료_5단계1번,Master Silver Ingot,,,,material
장인퀘스트_대장장이_대체재료_5단계2번,Master Processed Lightshard Tree Wood,,,,material
장인퀘스트_대장장이_대체재료_6단계1번,Master Gold Ingot,,,,material
장인퀘스트_대장장이_대체재료_6단계2번,Master Processed Bloomtree Wood,,,,material
장인퀘스트_세공술_대체재료_5단계1번,Master Restored Relic Seal,,,,material
장인퀘스트_세공술_대체재료_6단계1번,Master Restored Relic Piece,,,,material
장인퀘스트_연금술_대체재료_5단계1번(열매),Master Shinefruit,,,,material
장인퀘스트_연금술_대체재료_5단계1번(정수),Shining Life Essence,,,,material
장인퀘스트_연금술_대체재료_5단계1번(주문서),Alchemist's Worn Scroll Piece,,,,material
장인퀘스트_대장장이_대체_정수,Blacksmith's Shining Essence,,,,material
장인퀘스트_세공술_대체_정수,Polisher's Shining Essence,,,,material
이벤트_영웅 아이템 제작_무기 재료,Secret Weapon Crafting Manual,,,,material
이벤트_영웅 아이템 제작_방어구 재료,Secret Defense Gear Crafting Manual,,,,material
이벤트_영웅 아이템 제작_장신구 재료,Secret Accessory Crafting Manual,,,,material
몽환의 틈 충전권 - 음유시인,Bard's Invitation Recharge Ticket,,,,material
길드 던전 - 초기화 주문서,Guild Dungeon Reset Scroll,,,,material
몽환의 틈 충전권 - 카셀,Merchant's Wish Recharge Ticket,,,,material
영웅 망토 제작 재료(주문서),Hidden Cloak Crafting Manual,,,,material
행운의 소원 사탕,Lucky Wish Candy,,,,material
밀리아의 전술 교본,Millia's Tactics Guide,,,,material
라츠의 투척용 단검,Latz's Throwing Knife,,,,material
카셀의 황금 동전,Cassel's Gold Coin,,,,material
이블린의 마법 망토,Evelyn's Magic Cloak,,,,material
불의 수정,Fire Crystal,,,,material
물의 수정,Water Crystal,,,,material
어둠의 수정,Dark Crystal,,,,material
카마오스의 마력구,Khamaos' Magic Orb,,,,material
펭긴트의 100일 기념 희귀 주화,Rare 100-Day Celebration Pengint Coin,,,,material
차원의 망토 제작서,Spatial Cloak Crafting Manual (Bound),,,,material
황혼의 마석 정수,Evenfall Demon Stone Essence,,,,material
추적자의 정수,Tracker's Essence,,,,material
V4 출시 기념 주화,V4 Launch Coin,,,,material
숨겨진 신화 영혼석 제작서 (귀속),Hidden Mythic Soulstone Crafting Manual (Bound),,,,material
비장의 신화 영혼석 제작서 (귀속),Definitive Mythic Soulstone Crafting Manual (Bound),,,,material
축복받은 영혼의 고서,Blessed Soul Tome,,,,material
시원한 수박,Refreshing Watermelon,,,,material
2020 붉은 꽃 훈장,2020 Red Flower Medal,,,,material
라베나 주화,Lavena Coin,,,,material
대적자의 흔적,Foe Making,,,,material
품위의 칼날 교본,Dignified Blade Primer,,,,material
품위의 칼날: 전광석화 교본,Dignified Blade: Like Lightning Primer,,,,material
격식의 총탄 교본,Ceremonial Ammo Primer,,,,material
격식의 총탄: 비기 훈련 교본,Ceremonial Ammo: Secret Training Primer,,,,material
단상의 선사 교본,Ovation-Worthy Primer,,,,material
단상의 선사: 초토화 교본,Ovation-Worthy: Devastation Primer,,,,material
단호한 행진 교본,Resolute March Primer,,,,material
단호한 행진: 솜씨 발휘 교본,Resolute March: Display of Skill Primer,,,,material
우아한 폭풍 교본,Burst of Elegance Primer,,,,material
우아한 폭풍: 초토화 교본,Burst of Elegance: Devastation Primer,,,,material
결단의 발톱 교본,Resolute Claws Primer,,,,material
결단의 발톱: 비기 훈련 교본,Resolute Claws: Secret Training Primer,,,,material
결단의 발톱: 요령 습득 교본,Resolute Claws: Hidden Aptitude Primer,,,,material
호쾌한 탕아 교본,Intrepid Prodigy Primer,,,,material
호쾌한 탕아: 요령 습득 교본,Intrepid Prodigy: Hidden Aptitude Primer,,,,material
호쾌한 탕아: 급소 적중 교본,Intrepid Prodigy: Vital Hit Primer,,,,material
호쾌한 탕아: 생기발랄 교본,Intrepid Prodigy: Vim Primer,,,,material
엄숙한 행렬 교본,Solemn Procession Primer,,,,material
엄숙한 행렬: 집요함 교본,Solemn Procession: True Grit Primer,,,,material
